FAA Site     Short Name  Airport Name                               City                               ST  Latitude        Longitude        Tower
03449.11*A   4FD7        FLANDERS FIELD                             POLK CITY                          FL  28-12-23.0490N  081-49-40.2820W  N
03449.12*A   FA08        ORLAMPA INC                                POLK CITY                          FL  28-10-01.0550N  081-48-29.2830W  N
03450.*A     78FL        POMONA LANDING                             POMONA PARK                        FL  29-30-07.8900N  081-34-42.2700W  N
03451.2*H    28FA        N BROWARD MEDICAL CENTER                   POMPANO BEACH                      FL  26-16-42.2890N  080-07-19.1590W  N
03451.*A     PMP         POMPANO BEACH AIRPARK                      POMPANO BEACH                      FL  26-14-50.6429N  080-06-40.3490W  Y
03451.8*A    20FL        LAKE SUZY ESTATES                          PORT CHARLOTTE                     FL  27-02-33.2040N  082-02-37.3160W  N
03451.81*H   FA01        ST JOSEPH HOSPITAL                         PORT CHARLOTTE                     FL  26-59-37.2500N  082-05-42.7700W  N
03453.2*A    A51         COSTIN                                     PORT ST JOE                        FL  29-45-30.7570N  085-17-20.7050W  N
03453.53*H   FL22        ST LUCIE MEDICAL CENTER                    PORT ST LUCIE                      FL  27-17-18.4100N  080-17-34.2700W  N
03453.21*H   8FA5        SACRED HEART HOSPITAL ON THE GULF          PORT ST.  JOE                      FL  29-46-42.1600N  085-17-19.9700W  N
03453.51*A   FD24        SOUTHERN FRUIT GROVES                      PORT ST. LUCIE                     FL  27-13-16.1680N  080-31-14.1950W  N
03200.14*A   FL37        TREASURE COAST AIRPARK                     PORT ST. LUCIE                     FL  27-14-18.1660N  080-29-29.1930W  N
03455.24*A   40FL        ADANA AIRFIELD                             PUNTA GORDA                        FL  26-57-09.2900N  081-52-15.3900W  N
03455.23*H   8FL9        BURNT STORE ROAD                           PUNTA GORDA                        FL  26-50-47.8700N  082-01-20.0200W  N
03455.2*A    6FL3        PAYSON RANCH                               PUNTA GORDA                        FL  26-56-14.2120N  081-34-01.2800W  N
03455.*A     PGD         PUNTA GORDA                                PUNTA GORDA                        FL  26-55-08.1756N  081-59-27.3329W  Y
03455.1*A    F13         SHELL CREEK AIRPARK                        PUNTA GORDA                        FL  26-58-07.0000N  081-54-58.7000W  N
03459.01*H   29FD        GADSDEN MEMORIAL HOSPITAL                  QUINCY                             FL  30-34-13.7030N  084-32-59.6790W  N
03459.*A     2J9         QUINCY MUNI                                QUINCY                             FL  30-35-52.3350N  084-33-26.7300W  N
03459.02*A   49FD        WATSON FARM                                QUINCY                             FL  30-36-43.0000N  084-38-30.0000W  N
03462.7*A    FL28        STATE PRISON FIELD                         RAIFORD                            FL  30-03-20.8600N  082-10-20.3920W  N
03462.8*A    FA50        WINGS-N-WHEELS                             REDDICK                            FL  29-21-40.9020N  082-08-59.3390W  N
03462.98*A   2RR         RIVER RANCH RESORT                         RIVER RANCH                        FL  27-46-45.6000N  081-12-14.1000W  N
03462.97*A   2FL8        TIGER LAKE                                 RIVER RANCH                        FL  27-53-01.0800N  081-21-47.2500W  N
03463.019*H  58FA        ST JOSEPH'S HOSPITAL                       RIVERVIEW                          FL  27-47-13.1000N  082-20-44.6000W  N
03463.02*H   32FD        STAR AVIATION                              RIVERVIEW                          FL  27-54-16.0000N  082-23-00.0000W  N
03463.5*C    34FA        GEZIK                                      ROCKLEDGE                          FL  28-15-07.0000N  080-40-08.0000W  N
03463.41*H   8FD4        WUESTHOFF HOSPITAL EMERGENCY               ROCKLEDGE                          FL  28-20-10.0240N  080-43-49.1940W  N
03464.81*H   18FL        BAHIA BEACH                                RUSKIN                             FL  27-43-47.1050N  082-28-31.3410W  N
03466.1*H    36FL        MEASE COUNTRYSIDE HOSPITAL                 SAFETY HARBOR                      FL  28-02-20.0630N  082-42-28.3600W  N
03468.03*A   FL46        BARTRAM FARMS AIR PARK                     SAINT AUGUSTINE                    FL  29-49-16.2400N  081-29-49.4100W  N
03471.03*H   3FA3        SOUTHFORK                                  SAINT CLOUD                        FL  28-13-37.0000N  081-21-59.5000W  N
03480.*A     8FA4        COE FIELD                                  SAMSULA                            FL  29-00-37.6000N  081-07-56.9000W  N
03481.19*A   34FL        BNCFL                                      SAN MATEO                          FL  29-34-51.0850N  081-35-30.0740W  N
03481.02*H   2FA8        CENTRAL FLORIDA REGIONAL HOSPITAL          SANFORD                            FL  28-48-49.2500N  081-17-01.4300W  N
03481.01*C   FL55        SANFORD                                    SANFORD                            FL  28-49-22.0000N  081-15-48.0000W  N
03481.3*H    4FD9        BOWMAN'S BEACH HELISTOP                    SANIBEL                            FL  26-27-45.2890N  082-09-24.3400W  N
03481.31*H   4FD8        CAPTIVA                                    SANIBEL                            FL  26-32-30.2790N  082-11-31.3400W  N
03483.11*H   FA22        DOVE                                       SARASOTA                           FL  27-20-00.1650N  082-25-48.3410W  N
03483.4*A    22FA        HIDDEN RIVER                               SARASOTA                           FL  27-18-11.1690N  082-16-21.3280W  N
03483.14*A   FA77        LOWE'S                                     SARASOTA                           FL  27-19-51.1650N  082-17-26.3290W  N
03483.5*H    FA33        MOSQUITO CTL                               SARASOTA                           FL  27-16-21.0000N  082-21-58.0000W  N
03483.12*H   6FL6        SARASOTA DEPT OF FIRE-RESCUE EAST SIDE     SARASOTA                           FL  27-20-20.1650N  082-29-47.3470W  N
03483.1*H    FA23        SARASOTA MEMORIAL HOSPITAL                 SARASOTA                           FL  27-19-04.1670N  082-31-47.3500W  N
03483.13*A   4FL8        SCHWARTZ FARMS INC                         SARASOTA                           FL  27-20-37.1630N  082-19-02.3320W  N
03484.*A     SRQ         SARASOTA/BRADENTON INTL                    SARASOTA/BRADENTON                 FL  27-23-43.6000N  082-33-15.8000W  Y
03486.*A     3FD6        TRADEWINDS AERODROME                       SCOTTSMOOR                         FL  28-45-50.9700N  080-51-14.1930W  N
03489.12*C   81FL        AMBERSAND BEACH                            SEBASTIAN                          FL  27-49-33.6210N  080-25-52.6760W  N
03489.*C     0FD6        FULTON                                     SEBASTIAN                          FL  27-54-27.0800N  080-29-11.1880W  N
03489.1*A    X26         SEBASTIAN MUNI                             SEBASTIAN                          FL  27-48-47.7000N  080-29-44.1000W  N
03493.05*H   FA52        FLORIDA HOSPITAL-SEBRING                   SEBRING                            FL  27-32-16.9440N  081-30-33.3864W  N
03493.02*H   9FD3        HIGHLANDS RGNL MEDICAL CENTER              SEBRING                            FL  27-27-56.1350N  081-25-56.2640W  N
03493.04*C   9FL3        LAKE JOSEPHINE                             SEBRING                            FL  27-23-49.0000N  081-25-36.0000W  N
03493.*A     SEF         SEBRING RGNL                               SEBRING                            FL  27-27-23.0000N  081-20-32.6000W  N
03494.9*H    88FL        SAILFISH POINT                             SEWALL'S POINT                     FL  27-10-11.1770N  080-09-24.1600W  N
03500.*A     6FL2        KILPATRICK FARM                            SNEADS                             FL  30-43-38.6890N  084-55-03.7200W  N
03505.01*A   FL41        OKEELANTA                                  SOUTH BAY                          FL  26-34-52.2530N  080-45-21.2160W  N
03505.3*H    FA79        DOAN                                       SOUTH DAYTONA                      FL  29-09-55.9360N  081-01-38.2000W  N
03468.01*H   38FL        FLAGLER HOSPITAL                           ST AUGUSTINE                       FL  29-51-43.8890N  081-19-00.2590W  N
03468.*A     SGJ         NORTHEAST FLORIDA RGNL                     ST AUGUSTINE                       FL  29-57-33.3000N  081-20-23.0000W  Y
03468.1*A    14FD        SUNSHINE FARMS                             ST AUGUSTINE                       FL  29-56-56.8790N  081-29-25.2940W  N
03471.1*A    72FL        GATOR AIRPARK                              ST CLOUD                           FL  28-09-27.0560N  081-14-05.2680W  N
03471.21*A   FD37        GENTRY                                     ST CLOUD                           FL  28-08-14.0570N  081-15-48.2480W  N
03471.3*A    57FA        LAKE X                                     ST CLOUD                           FL  28-12-31.0480N  081-07-09.2340W  N
03471.02*C   FA78        ROBINESTTE                                 ST CLOUD                           FL  28-19-58.8000N  081-15-00.0000W  N
03471.01*H   FD52        ST CLOUD HOSPITAL                          ST CLOUD                           FL  28-14-38.0500N  081-18-12.4100W  N
03474.*A     SPG         ALBERT WHITTED                             ST PETERSBURG                      FL  27-45-54.4000N  082-37-37.1000W  Y
03474.01*H   FD64        BAY PINES VETERANS ADMINISTRATION          ST PETERSBURG                      FL  27-48-29.0920N  082-46-28.3660W  N
03474.03*H   2FD3        BAYFRONT HEALTH - ST PETERSBURG            ST PETERSBURG                      FL  27-45-48.0990N  082-38-32.3550W  N
03475.*A     PIE         ST PETE-CLEARWATER INTL                    ST PETERSBURG-CLEARWATER           FL  27-54-31.2767N  082-41-11.3757W  Y
03468.02*A   FL36        TOCOI                                      ST. AUGUSTINE                      FL  29-52-02.9000N  081-22-02.5000W  N
03474.05*H   FL14        JOHN HOPKINS ALL CHILDRENS HOSPITAL        ST. PETERSBURG                     FL  27-45-54.0000N  082-38-26.0000W  N
03506.6*A    39FD        ANCIENT OAKS                               STEINHATCHEE                       FL  29-43-45.8100N  083-21-12.4950W  N
03507.01*H   65FL        FLORIDIAN NATIONAL GOLF CLUB- LLC          STUART                             FL  27-12-31.0000N  080-17-29.0000W  N
03507.02*H   44FL        MARTIN MEMORIAL MEDICAL CENTER             STUART                             FL  27-12-02.1900N  080-14-36.6000W  N
03507.2*A    64FA        NAKED LADY RANCH                           STUART                             FL  27-08-34.1790N  080-20-16.1780W  N
03507.*A     SUA         WITHAM FIELD                               STUART                             FL  27-10-54.1000N  080-13-16.7000W  Y
03507.5*A    FD51        SUMMERLAND KEY COVE                        SUMMERLAND KEY                     FL  24-39-31.5160N  081-26-29.2970W  N
03507.57*A   FA02        ALTAIR                                     SUNNILAND                          FL  26-18-35.6100N  081-13-38.2800W  N
03507.8*H    2FL1        BROWARD COUNTY CIVIC ARENA                 SUNRISE                            FL  26-09-34.0000N  080-19-32.0000W  N
03509.17*A   FA25        BLACK CREEK PASS                           TALLAHASSE                         FL  30-30-03.4200N  084-04-41.1600W  N
03509.15*A   FL52        ANGEL'S FIELD                              TALLAHASSEE                        FL  30-28-51.7100N  084-05-12.6000W  N
03509.2*A    53FD        CHARLOTTE'S FIELD                          TALLAHASSEE                        FL  30-28-39.0000N  084-02-05.0000W  N
03509.1*A    TLH         TALLAHASSEE INTL                           TALLAHASSEE                        FL  30-23-48.3000N  084-21-03.1000W  Y
03509.11*H   FD18        TALLAHASSEE MEMORIAL HOSPITAL              TALLAHASSEE                        FL  30-27-25.1700N  084-15-40.6600W  N
03509.*A     68J         TALLAHASSEE COMMERCIAL                     TALLAHASSEE /HAVANA/               FL  30-32-50.3000N  084-22-25.8000W  N
03511.23*H   56FA        UNIVERSITY HOSPITAL & MEDICAL CENTER       TAMARAC                            FL  26-12-43.2800N  080-15-20.4900W  N
03513.17*H   9FD6        ACADEMY                                    TAMPA                              FL  27-56-49.0790N  082-25-15.3370W  N
03513.4*H    FL38        CARE FLIGHT                                TAMPA                              FL  27-58-55.0720N  082-29-29.3420W  N
03513.22*H   68FL        EMS                                        TAMPA                              FL  28-00-11.0710N  082-25-44.3380W  N
03513.14*H   FL92        L M HUGHEY                                 TAMPA                              FL  27-56-29.0770N  082-32-07.3460W  N
03514.*A     MCF         MACDILL AFB                                TAMPA                              FL  27-50-57.6299N  082-31-16.3797W  Y
03513.04*C   FL72        MEZRAH                                     TAMPA                              FL  27-56-51.1100N  082-23-27.1400W  N
03519.*A     TPF         PETER O KNIGHT                             TAMPA                              FL  27-54-55.6000N  082-26-57.8000W  N
03513.1*A    VDF         TAMPA EXECUTIVE                            TAMPA                              FL  28-00-50.3000N  082-20-43.0000W  N
03513.3*H    61FL        TAMPA GENERAL HOSPITAL                     TAMPA                              FL  27-56-17.0790N  082-27-33.3400W  N
03513.*A     TPA         TAMPA INTL                                 TAMPA                              FL  27-58-31.7000N  082-31-59.7000W  Y
03515.*A     X39         TAMPA NORTH AERO PARK                      TAMPA                              FL  28-13-16.6000N  082-22-28.4000W  N
03513.19*H   54FL        TECO PLAZA                                 TAMPA                              FL  27-56-59.0770N  082-27-36.3400W  N
03513.03*H   FL70        WFLA-TV 8                                  TAMPA                              FL  27-56-38.0000N  082-27-42.0000W  N
03522.6*H    FA58        FLORIDA HOSPITAL NORTH PINELLAS            TARPON SPRINGS                     FL  28-07-57.4800N  082-45-30.0000W  N
03525.01*C   3FA8        SEAREY CENTRAL                             TAVARES                            FL  28-45-58.0000N  081-44-46.0000W  N
03525.*C     FA1         TAVARES                                    TAVARES                            FL  28-48-02.0000N  081-43-40.0000W  N
03526.01*H   FD05        MARINERS HOSPITAL                          TAVERNIER                          FL  25-00-24.8800N  080-31-20.3800W  N
03526.*A     FA81        TAVERNAERO PARK                            TAVERNIER                          FL  25-00-31.4670N  080-31-59.2200W  N
03531.*A     X21         ARTHUR DUNN AIR PARK                       TITUSVILLE                         FL  28-37-21.1860N  080-50-07.4749W  N
03531.4*H    46FL        HOSPITAL                                   TITUSVILLE                         FL  28-37-45.9850N  080-49-19.1940W  N
03531.3*A    TTS         NASA SHUTTLE LANDING FACILITY              TITUSVILLE                         FL  28-36-53.6000N  080-41-39.7000W  Y
03532.*A     TIX         SPACE COAST RGNL                           TITUSVILLE                         FL  28-30-53.2800N  080-47-57.2200W  Y
03532.41*A   6FL8        AMES FIELD                                 TRENTON                            FL  29-35-15.2000N  082-52-16.5000W  N
03532.42*A   35FD        RUSH                                       TRENTON                            FL  29-41-32.4000N  082-43-45.0000W  N
03532.4*A    FL33        WATSON FLIGHT STRIP                        TRENTON                            FL  29-40-05.8540N  082-49-34.4360W  N
03533.32*A   43FL        FLY'N R RANCH                              UMATILLA                           FL  28-59-02.9430N  081-49-01.2870W  N
03533.3*A    X23         UMATILLA MUNI                              UMATILLA                           FL  28-55-27.1950N  081-39-06.5250W  N
03533.8*A    X59         VALKARIA                                   VALKARIA                           FL  27-57-39.1000N  080-33-30.0000W  N
03535.02*A   FL34        EGLIN TEST SITE B6                         VALPARAISO                         FL  30-37-54.6900N  086-44-49.8400W  N
03534.*A     VPS         EGLIN AFB/DESTIN-FT WALTON BEACH           VALPARAISO/DESTIN-FT WALTON BEACH  FL  30-28-59.5899N  086-31-33.7596W  Y
03538.*A     VNC         VENICE MUNI                                VENICE                             FL  27-04-17.8000N  082-26-25.2000W  N
03539.4*A    FD25        FLY IN RANCHES                             VERO BEACH                         FL  27-33-44.8900N  080-29-55.8400W  N
03539.1*A    FL74        INDIAN RIVER AERODROME                     VERO BEACH                         FL  27-35-55.1210N  080-30-07.1940W  N
03539.5*H    3FD7        INDIAN RIVER MEMORIAL HOSPITAL             VERO BEACH                         FL  27-39-50.1130N  080-23-46.1840W  N
03539.2*A    X52         NEW HIBISCUS AIRPARK                       VERO BEACH                         FL  27-37-56.1180N  080-31-39.1960W  N
03539.6*A    23FD        SCOTT 2000                                 VERO BEACH                         FL  27-32-50.1310N  080-39-43.2060W  N
03539.3*A    FL89        TRIPLE M                                   VERO BEACH                         FL  27-33-15.1260N  080-26-23.1900W  N
03540.*A     VRB         VERO BEACH MUNI                            VERO BEACH                         FL  27-39-20.0000N  080-25-04.6000W  Y
03540.4*H    NVI         PACE NOLF                                  WALLACE                            FL  30-41-58.7510N  087-11-44.3310W  N
03540.7*A    48FL        MC KINNON AIRPARK                          WALNUT HILL                        FL  30-48-50.6740N  087-28-29.9340W  N
03544.*A     49FL        MIKE'S AG AIR                              WALNUT HILL                        FL  30-58-37.6570N  087-29-41.9330W  N
03546.1*A    CHN         WAUCHULA MUNI                              WAUCHULA                           FL  27-30-53.7000N  081-52-49.7000W  N
03547.01*A   2FL0        CRYSTAL VILLAGE                            WAUSAU                             FL  30-27-24.7000N  085-41-09.7400W  N
03547.*A     15FD        ORANGE HILL                                WAUSAU                             FL  30-39-30.6960N  085-31-47.7430W  N
03549.11*A   2FD1        HOBBY HILL                                 WEIRSDALE                          FL  28-58-31.9400N  081-55-07.2980W  N
03549.1*A    97FL        LOVE FIELD                                 WEIRSDALE                          FL  28-57-42.9430N  081-53-29.2950W  N
03550.01*A   3FL0        MOUNT ROYAL                                WELAKA                             FL  29-26-09.8900N  081-39-24.2800W  N
03550.7*A    7FL2        WELLBORN                                   WELLBORN                           FL  30-14-43.8200N  082-46-42.4550W  N
03550.9*H    FA59        NITV                                       WELLINGTON                         FL  26-38-02.2900N  080-13-27.1600W  N
03552.7*H    27FL        WESLEY CHAPEL MEDICAL CENTER               WESLEY CHAPEL                      FL  28-11-40.9300N  082-21-01.7000W  N
03552.*C     1FL5        WEST BAY CREEK                             WEST BAY                           FL  30-18-07.7100N  085-51-51.7600W  N
03553.*A     FD74        GAMEBIRD GROVES AIRSTRIP                   WEST MELBOURNE                     FL  28-03-57.0640N  080-54-08.2170W  N
03554.2*A    F45         NORTH PALM BEACH COUNTY GENERAL AVIATION   WEST PALM BEACH                    FL  26-50-45.3000N  080-13-20.4000W  N
03555.21*H   5FL5        PALM BEACH COUNTY JUDICIAL CENTER          WEST PALM BEACH                    FL  26-42-53.2300N  080-03-14.1400W  N
03555.1*A    LNA         PALM BEACH COUNTY PARK                     WEST PALM BEACH                    FL  26-35-35.0000N  080-05-06.2326W  N
03555.*A     PBI         PALM BEACH INTL                            WEST PALM BEACH                    FL  26-40-59.4000N  080-05-44.1000W  Y
03555.19*H   39FL        PALM BEACH SHERIFF'S RANGE                 WEST PALM BEACH                    FL  26-43-01.2330N  080-11-59.1630W  N
03555.16*H   03FL        RANGER                                     WEST PALM BEACH                    FL  26-41-01.2370N  080-11-14.1620W  N
03555.15*H   5FD2        RYBOVICH                                   WEST PALM BEACH                    FL  26-44-57.2280N  080-02-57.1470W  N
03555.13*H   64FD        ST MARYS HOSPITAL                          WEST PALM BEACH                    FL  26-45-23.1800N  080-03-40.5600W  N
03555.2*H    55FL        THE MURPHY COMPANY                         WEST PALM BEACH                    FL  26-41-14.2360N  080-03-26.1490W  N
03554.1*A    FD38        WELLINGTON AERO CLUB                       WEST PALM BEACH                    FL  26-38-48.1149N  080-17-42.1600W  N
03555.14*H   FL39        WELLINGTON MEDICAL CENTER                  WEST PALM BEACH                    FL  26-38-15.2430N  080-12-16.1640W  N
03555.22*H   7FL5        WEST PALM BEACH POLICE STATION             WEST PALM BEACH                    FL  26-42-50.3700N  080-03-28.2300W  N
03555.23*H   FL51        WPTV                                       WEST PALM BEACH                    FL  26-42-50.0000N  080-03-51.0000W  N
03553.4*H    FD13        CLEVELAND CLINIC FLORIDA HOSPITAL          WESTON                             FL  26-05-20.0000N  080-21-57.0000W  N
03559.01*H   73FL        WILLISTON MEMORIAL HOSPITAL                WILLISTON                          FL  29-22-58.8920N  082-27-17.3740W  N
03559.*A     X60         WILLISTON MUNI                             WILLISTON                          FL  29-21-19.6087N  082-28-18.7417W  N
03559.1*A    96FL        WINGS FIELD                                WILLISTON                          FL  29-14-32.8920N  082-32-43.3790W  N
03561.01*A   23FL        GYRO TOWN USA                              WIMAUMA                            FL  27-41-04.0000N  082-14-39.0000W  N
03561.*A     FD77        WIMAUMA AIR PARK                           WIMAUMA                            FL  27-42-43.1110N  082-16-58.3270W  N
03564.09*H   2FL6        I-10 HELISTOP                              WINFIELD                           FL  30-16-23.7000N  082-47-03.8100W  N
03566.*A     FL95        BROOCKE AIR PATCH                          WINTER BEACH                       FL  27-42-31.1080N  080-27-10.1880W  N
03568.15*C   FD69        LAKE APOPKA SOUTH                          WINTER GARDEN                      FL  28-34-24.5000N  081-35-41.8000W  N
03570.14*H   7FL1        ADAMS EXECUTIVE                            WINTER HAVEN                       FL  28-01-01.0000N  081-40-30.0000W  N
03570.2*C    F57         JACK BROWNS                                WINTER HAVEN                       FL  28-03-27.0000N  081-45-46.1000W  N
03570.21*C   FL42        KING SEAAERO                               WINTER HAVEN                       FL  28-02-19.0740N  081-45-13.2850W  N
03570.11*H   72FD        LAZY B I RANCH                             WINTER HAVEN                       FL  28-01-47.0740N  081-39-16.2780W  N
03570.4*H    FA31        LEGOLAND FLORIDA                           WINTER HAVEN                       FL  27-59-23.0000N  081-41-35.0000W  N
03570.13*H   60FD        WINTER HAVEN HOSPITAL                      WINTER HAVEN                       FL  28-01-41.0000N  081-43-29.0000W  N
03570.*A     GIF         WINTER HAVEN'S GILBERT                     WINTER HAVEN                       FL  28-03-46.5000N  081-45-11.9000W  N
03572.*C     FD98        FERGUSON                                   WINTER SPRINGS                     FL  28-42-52.9850N  081-16-12.2370W  N
03573.*A     FL54        FLYING TIGER FIELD                         WORTHINGTON                        FL  29-56-07.8600N  082-24-38.4000W  N
03573.5*U    FL48        SIERRA AIRPARK                             WORTHINGTON SPRINGS                FL  28-52-56.0000N  082-25-47.0000W  N
03575.*A     6FD5        BLANKET BAY                                YEEHAW JUNCTION                    FL  27-46-43.1000N  081-05-59.2370W  N
03575.4*A    83FL        NASSAU                                     YULEE                              FL  30-37-07.8540N  081-32-01.3380W  N
03575.5*A    X61         BOB WHITE FIELD                            ZELLWOOD                           FL  28-44-06.9800N  081-37-44.8200W  N
03575.6*A    FA83        ORLANDO NORTH AIRPARK                      ZELLWOOD                           FL  28-43-34.9800N  081-39-03.2700W  N
03575.62*A   FL97        TANGERINE                                  ZELLWOOD                           FL  28-45-36.9770N  081-36-21.2650W  N
03577.1*H    13FL        GATOR LAKE                                 ZEPHYRHILLS                        FL  28-16-36.0210N  082-19-14.3150W  N
03577.*A     ZPH         ZEPHYRHILLS MUNI                           ZEPHYRHILLS                        FL  28-13-40.7696N  082-09-21.5843W  N
03580.*A     FL00        GRIFFINS PEACE RIVER RANCH                 ZOLFO SPRINGS                      FL  27-25-08.1480N  081-49-57.2970W  N
03580.01*A   67FL        MYAKKA HEAD                                ZOLFO SPRINGS                      FL  27-27-20.0000N  082-06-18.0000W  N
